"X" "V1" "V2"
"1" 1 67.2227838819343 10
"2" 2 91.3644847344164 11
"3" 3 48.8062792324392 12
"4" 4 45.5096926062872 13
"5" 5 63.0282533748286 14
"6" 6 27.5728817736654 15
"7" 1 28.1277389255936 16
"8" 2 40.9717241297414 17
"9" 3 39.7953368867103 18
"10" 4 75.640827202256 19
"11" 5 40.8368059913048 20
"12" 1 30.1980341223623 21
"13" 2 20.8250460988792 22
"14" 3 34.1925678653872 23
"15" 4 30.8243258646059 24
"16" 5 48.3955582917829 25
"17" 1 33.4377233793007 26
"18" 2 25.7809444084397 27
"19" 3 41.7921106122498 28
"20" 4 38.6957234972021 29
"21" 5 13.1338873967594 30
"22" 1 20.8890079998084 36
"23" 2 18.5540807015261 37
"24" 3 27.5960226873137 38
"25" 4 28.8253436872947 39
"26" 5 24.7517764736717 40
"27" 1 12.2636077402965 41
"28" 2 22.9668228438436 42
"29" 3 12.27780667475 43
"30" 4 32.7064819896645 44
"31" 5 15.3504377517807 45
"32" 1 18.0106723541637 46
"33" 2 31.7434526668948 47
"34" 3 12.3156005858812 48
"35" 4 11.3353962557498 49
"36" 5 14.8091982163465 50
"37" 1 22.5024191576378 51
"38" 2 10.5903495504353 52
"39" 3 18.56155019136 53
"40" 4 28.839593555721 54
"41" 5 21.6783174898333 55
"42" 1 12.5653997720746 56
"43" 2 32.7604370220304 57
"44" 3 23.1238691546249 58
"45" 4 16.505701002302 59
"46" 5 13.5601714930793 60
"47" 1 7.82181427367597 61
"48" 2 10.1620072558529 62
"49" 3 13.0880793854355 63
"50" 4 22.4480675679375 64
"51" 5 27.9994775150673 65
"52" 1 37.0345893204514 66
"53" 2 56.5551315229916 67
"54" 3 11.8265388805102 68
"55" 4 8.85273850965765 69
"56" 5 23.6971628512633 70
"57" 1 36.7804839253368 71
"58" 2 29.0639388350425 72
"59" 3 31.2609944684685 73
"60" 4 20.3433954052894 74
"61" 5 21.040341423992 75
"62" 1 20.4087044457439 76
"63" 2 17.7149582720054 77
"64" 3 21.2982350406691 78
"65" 4 13.4733308846408 79
"66" 5 16.6024342673967 80
"67" 1 18.6297274966087 81
"68" 2 18.3657007735324 82
"69" 3 13.2454204013715 83
"70" 4 6.34016309089361 84
"71" 5 7.2555009037658 85
"72" 1 11.9445736732039 86
"73" 2 22.0882860097148 87
"74" 3 8.04195442782777 88
"75" 4 22.335902657158 89
"76" 5 8.01195529169476 90
